"Query","True Cardinalty","Normalized Cardinality"
"Synthetic_1",838,0.2929270718239568
"Synthetic_2",297013,0.5484058393925356
"Synthetic_3",31427248,0.7512763157849158
"Synthetic_4",12,0.10814061376928175
"Synthetic_5",733244,0.5877340594638042
"Synthetic_6",515,0.2717398020457706
"Synthetic_7",1141529,0.606997535367213
"Synthetic_8",4344670,0.6651641924185605
"Synthetic_9",7987245,0.6916627317769459
"Synthetic_10",381253,0.5592719765817473
"Synthetic_11",46,0.16661858527125506
"Synthetic_12",3311512,0.6533468331115059
"Synthetic_13",1038381,0.6028760341574022
"Synthetic_14",2706674,0.6445697368627962
"Synthetic_15",3495,0.3550752520176349
"Synthetic_16",1274246,0.6117840160974867
"Synthetic_17",7451973,0.6886439475663112
"Synthetic_18",2990419,0.6489082722129172
"Synthetic_19",267611,0.5438693562511636
"Synthetic_20",3303,0.35261633238221046
"Synthetic_21",8,0.09049518404797373
"Synthetic_22",1312009,0.6130549845176857
"Synthetic_23",33316050,0.7538162567266313
"Synthetic_24",4416021,0.6658730843806773
"Synthetic_25",1215398,0.6097263063922486
"Synthetic_26",11017,0.40503966604569974
"Synthetic_27",14570665,0.7178247944782278
"Synthetic_28",325,0.25170619797919863
"Synthetic_29",143,0.2159779581271907
"Synthetic_30",789644,0.5909589766160652
"Synthetic_31",1214571,0.6096966844493331
"Synthetic_32",136323,0.5145154808031838
"Synthetic_33",14469750,0.7175223376441933
"Synthetic_34",1011676,0.6017421727851979
"Synthetic_35",714822,0.5866267204535314
"Synthetic_36",3056412,0.6498582118988618
"Synthetic_37",5629,0.37581633170051376
"Synthetic_38",956615,0.5993067360134575
"Synthetic_39",2,0.03016506134932458
"Synthetic_40",435786,0.565089946940786
"Synthetic_41",2929788,0.6480168534499229
"Synthetic_42",11216419,0.7064388540883842
"Synthetic_43",2235039,0.6362375095384997
"Synthetic_44",96573,0.4995132739642198
"Synthetic_45",1152615,0.6074181325194089
"Synthetic_46",4172273,0.6634021594292766
"Synthetic_47",709850,0.5863229631409923
"Synthetic_48",15207,0.41906654468325366
"Synthetic_49",42883,0.46418353005546664
"Synthetic_50",2889401,0.6474127729003898
"Synthetic_51",12001,0.4087627345411839
"Synthetic_52",549622,0.5751898098684926
"Synthetic_53",22900,0.43688239275844637
"Synthetic_54",33,0.15216445808061987
"Synthetic_55",175118,0.5254140689968979
"Synthetic_56",222131,0.5357631996791884
"Synthetic_57",7657830,0.6898298322435009
"Synthetic_58",2192596,0.635403144088456
"Synthetic_59",14887750,0.7187616914657632
"Synthetic_60",39,0.15943448218783599
"Synthetic_61",712963,0.586513395495296
"Synthetic_62",12,0.10814061376928175
"Synthetic_63",23501220,0.7386287000385421
"Synthetic_64",12691,0.41119558073023055
"Synthetic_65",131642,0.5129948860153354
"Synthetic_66",96943,0.4996796895976104
"Synthetic_67",52890,0.4733111499757226
