"Query","True Cost","Normalized Cost"
"synthetic_1",442609.83,0.9358839621702464
"synthetic_2",34.21,0.08746508778647112
"synthetic_3",852359.62,0.9946070413591844
"synthetic_4",480442.72,0.9432337013333483
"synthetic_5",454293.43,0.9382187160773677
"synthetic_6",8194.1,0.5784059250802305
"synthetic_7",8222.99,0.5787213073520167
"synthetic_8",37.21,0.09499764600368889
"synthetic_9",510185.24,0.9486161908654168
"synthetic_10",8180.26,0.5782544443725927
"synthetic_11",7742.91,0.5733307134528951
"synthetic_12",488833.61,0.9447852190380782
"synthetic_13",81.71,0.16548460562265813
"synthetic_14",7717.53,0.5730365046761616
"synthetic_15",8214.66,0.5786304854117428
"synthetic_16",8682.05,0.5835892505306559
"synthetic_17",557982.92,0.9566411489558787
"synthetic_18",37.21,0.09499764600368889
"synthetic_19",8786.73,0.5846632196725993
"synthetic_20",8590.87,0.5826431804103975
"synthetic_21",48.95,0.11957060691502673
"synthetic_22",8195.44,0.5784205779773675
"synthetic_23",876515.24,0.9971112375943323
"synthetic_24",81.71,0.16548460562265813
"synthetic_25",53.84,0.1281030108518406
"synthetic_26",8214.59,0.5786297218120098
"synthetic_27",457781.3,0.9389040740186415
"synthetic_28",480412.54,0.9432280721326907
"synthetic_29",8195.44,0.5784205779773675
"synthetic_30",8319.67,0.5797687293931492
"synthetic_31",9700.34,0.59352726866646
"synthetic_32",71.43,0.15343581237010884
"synthetic_33",557537.42,0.956569574887465
"synthetic_34",212.3,0.2510461836776761
"synthetic_35",61.12,0.13946754510115156
"synthetic_36",71.35,0.15333539516700592
"synthetic_37",446784.59,0.9367252135102512
"synthetic_38",37.21,0.09499764600368889
"synthetic_39",49.36,0.12031804314382447
"synthetic_40",8180.26,0.5782544443725927
"synthetic_41",73.47,0.15595915336959099
"synthetic_42",83.41,0.1673298336946423
"synthetic_43",10900.86,0.6039830063217787
"synthetic_44",470047.59,0.9412735707116013
"synthetic_45",8180.26,0.5782544443725927
"synthetic_46",513990.08,0.9492819997045956
"synthetic_47",8194.04,0.5784052689243111
"synthetic_48",7834.6,0.5743856210394117
"synthetic_49",8243.42,0.5789436665663052
"synthetic_50",461536.57,0.9396361621182383
"synthetic_51",484825.66,0.9440474792425302
"synthetic_52",35.58,0.09098367750456289
"synthetic_53",34.21,0.08746508778647112
"synthetic_54",442631.03,0.9358882541718512
"synthetic_55",35.58,0.09098367750456289
"synthetic_56",508501.83,0.9483200250219179
"synthetic_57",652048.18,0.9706014676570055
"synthetic_58",13637.28,0.6240525112779814
"synthetic_59",493975.85,0.9457229374499369
"synthetic_60",35.53,0.09085766174445987
